w,mag,phase
0.1,9.99979244196223,-2.86592444713667
0.106638159447544,9.99976279242884,-3.0563350239804
0.124701432032906,9.9996707151199,-3.57463377738816
0.14582441437117,9.99954053055889,-4.18107962330941
0.17052538595614,9.99935452024241,-4.89081442581538
0.199410416841966,9.99908522412086,-5.72167012645186
0.23318823835012,9.99868905322863,-6.69469817846832
0.27268763270239,9.99809511770314,-7.83483134932998
0.318877768256853,9.99718540127035,-9.17172406760668
0.372891979297967,9.99575917501663,-10.7408373179114
0.436055573848452,9.99346857653529,-12.5848617016296
0.509918351803334,9.98970133680798,-14.7556081459369
0.596292631260336,9.98336676884518,-17.3165353408119
0.697297716071434,9.97250579673095,-20.3461069763697
0.815411895684079,9.95358552183975,-23.9421216771839
0.953533253154939,9.92024480467231,-28.2268795782345
1,9.90570568090198,-29.6885640480799
1.11505077333886,9.86114115151038,-33.3521719520848
1.30392749598379,9.75651364369401,-39.5008242158344
1.52479775399955,9.57351104851778,-46.8766205624547
1.78308088276633,9.26224506885163,-55.6662905059463
2.08511419048673,8.75924493800693,-65.9515649374834
2.43830845217967,8.01013471158807,-77.5698001522452
2.851329742561,7.01427116670007,-90
3.334312069314,5.85763382801218,-102.430199847755
3.89910602398001,4.68415729294386,-114.048435062517
4.55956955143826,3.62212527464495,-124.333709494054
5.33190797237718,2.73779446687666,-133.123379437545
6.2350716016453,2.04035931224857,-140.499175784166
7.2912207185585,1.50807025207834,-146.647828047915
8.52626929780702,1.1094281649215,-151.773120421765
9.97052084209832,0.814026886634427,-156.057878322816
10,0.809272350233496,-156.131669986693
11.659411917506,0.596411342593432,-159.65389302363
13.6343816351195,0.436617383812839,-162.683464659188
15.9438884128427,0.319491199936496,-165.244391854063
18.6445989648984,0.233724934662402,-167.41513829837
21.8027786924226,0.170957036070507,-169.259162682089
25.4959175901667,0.125034926016414,-170.828275932393
29.8146315630168,0.0914435881395118,-172.16516865067
34.8648858035717,0.0668746399821612,-173.305301821532
40.7705947842039,0.0489058784433728,-174.278329873548
47.6766626577469,0.0357647472331948,-175.109185574185
55.7525386669432,0.026154452814435,-175.818920376691
65.1963747991895,0.0191264201709643,-176.425366222612
76.2398876999773,0.0139868555852681,-176.94366497602
89.1540441383164,0.0102283443870101,-177.386697900107
100,0.00812997113934879,-177.670292924607
