descriptions,General,User,javot
,General,DateTime,7/17/2026 10:46:33 AM
,General,Origin,"Software revision: outputs_asymmetricspring.sdf, outputs_asymmetricspring.rta\nVariable description: outputs_asymmetricspring.sdf\n    Platform / Device: Platform [DS1202 MicroLabBox, assigned to 'ds1202']\nControlDesk version: 7.5"
,General,Description,
,Recording,StartCondition,None (Immediate Recording)
,Recording,StopCondition,None
,Measurement,XAxisOffset,0
,Measurement,Length,20.59755245
,Measurement,StartTimestamp,0.6750186704
,Measurement,StopTimestamp,21.27257112
,MDF,Department,
,MDF,Project,
,MDF,MeasurementObject,

trace_size,20598
trace_types,4,4,4,4,4
trace_names,,Out1,Out1,Out1,Out1
trace_units,,,,,
devices,Platform,Platform,Platform,Platform,Platform
raster,HostService,HostService,HostService,HostService,HostService
description,,,,,
displayidentifier,,,,,
path,,Model Root/Divide,Model Root/Subsystem2/curr2torque,Model Root/Subsystem2/Shift,Model Root/Subsystem2/Shift1
flags,,0,0,0,0
min,,-Infinity,-Infinity,-Infinity,-Infinity
max,,Infinity,Infinity,Infinity,Infinity
minWeak,,-Infinity,-Infinity,-Infinity,-Infinity
maxWeak,,Infinity,Infinity,Infinity,Infinity
,6.2971691869018551,295.631103515625,5.2407453559716028,-0.19361743080554233,3.1962364307468181
,6.2981690947387694,295.543212890625,5.2030862531593529,-0.11916568619930247,3.1768514966083976
,6.2991687225830075,295.4443359375,5.1607197624955718,-0.036598750445483823,3.1529873694322577
,6.3001685904174805,295.3619384765625,5.1254143536090879,0.031204540943156438,3.1314727002015381
,6.3011692582885743,295.2740478515625,5.087755250796838,0.10248561790308441,3.1069286147277322
,6.3021685261108402,295.1806640625,5.0477424540588229,0.17700198162070291,3.079087337446607
,6.303168713964844,295.0872802734375,5.007729657320807,0.25021925468386264,3.0494743913708637
,6.3041690218261719,295.0048828125,4.9724242484343231,0.31371057344316144,3.0219113961426314
,6.3051694096801763,294.9169921875,4.9347651456220731,0.3802528487366601,2.9910677123764358
,6.306168757507324,294.8236083984375,4.8947523488840581,0.44958184794948675,2.9567084537537736
,6.3071693853759765,294.730224609375,4.8547395521460421,0.51746045740523849,2.9207617524760652
,6.3081693732177735,294.642333984375,4.8170804493337931,0.57998918037456382,2.8855244951407362
,6.3091688810546875,294.554443359375,4.7794213465215432,0.64117280441539004,2.8489682187884164
,6.310169268908691,294.45556640625,4.7370548558577621,0.70836260473212054,2.8063195556020508
,6.3111694967651371,294.36767578125,4.6993957530455122,0.76659877921372988,2.7671044259453419
,6.3121690445922853,294.27978515625,4.6617366502332622,0.8234087314309757,2.726707008737526
,6.3131691924438478,294.19189453125,4.6240775474210123,0.87876915883333684,2.6851720927663498
,6.3141690202880856,294.093017578125,4.5817110567572312,0.93928966479159959,2.6371419771255025
,6.3151697281494137,294.005126953125,4.5440519539449822,0.99149844363398254,2.5933405520731747
,6.3161696760009765,293.917236328125,4.5063928511327322,1.0421933163345294,2.5485442646093972
,6.3171696638427735,293.829345703125,4.4687337483204823,1.0913564051356077,2.5027994850689161
,6.3181696516845705,293.7249755859375,4.4240135637309352,1.1477252990593945,2.4473100394153136
,6.3191692795288086,293.642578125,4.3887081548444513,1.1906681315229897,2.402655887016123
,6.3201691473754886,293.5491943359375,4.3486953581064363,1.2376583423992693,2.3511979390373301
,6.3211698552368167,293.4613037109375,4.3110362552941863,1.2802427587957268,2.3019908351400646
,6.3221692030639645,293.3624267578125,4.2686697646304053,1.3262335087654835,2.2457935783928185
,6.3231698709350583,293.2745361328125,4.2310106618181553,1.3653998805805443,2.1951471105984313
,6.3241693787597653,293.1866455078125,4.1933515590059054,1.4029443100728605,2.1438977079383461
,6.3251699666259764,293.0987548828125,4.1556924561936563,1.4388600248631327,2.0920930404757332
,6.326169314453125,292.9998779296875,4.1133259655298753,1.4773116578833501,2.0332084116263096
,6.3271700223144531,292.9119873046875,4.0756668627176253,1.5097499400482228,1.9803819806034331
,6.328169730163574,292.8240966796875,4.0380077599053754,1.5405469037874913,1.9271490062860839
,6.3291700380126956,292.730712890625,3.9979949631673599,1.5714688346022057,1.8701965201137807
,6.330169465844727,292.6318359375,3.9556284725035793,1.6021885877828834,1.8095148939830006
,6.3311693736938475,292.5439453125,3.9179693696913289,1.6277514390971768,1.755301479262569
,6.3321700815551756,292.4560546875,3.8803102668790799,1.6516761599524716,1.7008787126427172
,6.3331695493896483,292.3626708984375,3.8402974701410639,1.6753058832607062,1.6428771245466782
,6.334170217248535,292.269287109375,3.8002846734030484,1.6970974477097132,1.5847470491794311
,6.3351702051025391,292.181396484375,3.7626255705907985,1.7159352292815886,1.5299682318419321
,6.3361696729248047,292.093505859375,3.724966467778549,1.7331599194218028,1.4751696965265952
,6.3371696207763675,292.0001220703125,3.6849536710405335,1.7497040509643613,1.4169749901422626
,6.3381697286254886,291.90673828125,3.644940874302518,1.764450204641244,1.358862283121167
,6.3391702764892575,291.81884765625,3.6072817714902681,1.7766991183115046,1.3042902104905729
,6.3401702643310545,291.73095703125,3.5696226686780177,1.7873808395172688,1.249881122121423
,6.3411696921630858,291.632080078125,3.5272561780142371,1.7975421515452088,1.1889192271691746
,6.3421697200073242,291.5496826171875,3.4919507691277532,1.8045241828784668,1.1383603482593287
,6.3431704278808594,291.456298828125,3.4519379723897377,1.8108226158904501,1.0813732520872095
,6.3441699357055663,291.3739013671875,3.4166325635032537,1.8149716445307646,1.0314044335320736
,6.3451704835693361,291.2750244140625,3.3742660728394727,1.818230195923944,0.97187922912226898
,6.3461699114013674,291.1871337890625,3.3366069700272223,1.8195727032034885,0.91941162623928896
,6.3471705792724613,291.0992431640625,3.2989478672149732,1.819474381152679,0.86740227694566707
,6.3481705671142574,291.0113525390625,3.2612887644027229,1.8179571507546211,0.81588945233514243
,6.3491699549438474,290.9124755859375,3.2189222737389422,1.8145827954077431,0.758577690744484
,6.3501699827880858,290.830078125,3.1836168648524579,1.8104457568122279,0.71137186190976331
,6.351170690661621,290.7366943359375,3.1436040681144424,1.8043284252218621,0.65852038191713491
,6.3521707185058593,290.654296875,3.1082986592279584,1.7976938839878727,0.61249099141962282
,6.3531706263427736,290.555419921875,3.0659321685641774,1.7882340845097258,0.55804469621340103
,6.3541707741943361,290.4730224609375,3.030626759677693,1.7791289885040789,0.51336233993747038
,6.3551708020507816,290.379638671875,2.990613962939678,1.7674984917456469,0.46351584864689044
,6.3561707498901372,290.2972412109375,2.9553085540531936,1.7561060629801268,0.42026254568323312
,6.3571706577392577,290.1983642578125,2.9129420633894125,1.7410728405519285,0.36929725088610155
,6.3581709255859371,290.115966796875,2.8776366545029286,1.7274397138698314,0.327636768736835
,6.3591701534179688,290.028076171875,2.8399775516906787,1.7118212498912766,0.28403919693095142
,6.3601708212768555,289.940185546875,2.8023184488784287,1.6951231925360775,0.24133576706374069
,6.3611710091308593,289.8468017578125,2.7623056521404137,1.6762354239075608,0.19697250769057059
,6.3621709969726563,289.7589111328125,2.7246465493281637,1.6574153751751455,0.15619520112194712
,6.3631710248291018,289.6710205078125,2.6869874465159138,1.6376185104152619,0.11638933075559245
,6.3641710126708988,289.588623046875,2.6516820376294299,1.618202706476082,0.079974129019201923
,6.3651711205200199,289.4952392578125,2.6116692408914144,1.5952339124996044,0.039783135915730357
,6.3661710683715818,289.412841796875,2.5763638320049305,1.5741494051077558,0.0052922701930946201
,6.3671704161987304,289.324951171875,2.5387047291926805,1.5508492014469948,-0.030474599144190533
,6.3681710840576171,289.237060546875,2.5010456263804306,1.5267487434973039,-0.065166738632419022
,6.3691707119018552,289.1436767578125,2.4610328296424151,1.5003066808500782,-0.10082987675811828
,6.3701706197387695,289.061279296875,2.4257274207559307,1.4762958835679389,-0.13125753436778587
,6.3711711676025393,288.973388671875,2.3880683179436812,1.4500188085850405,-0.16262439767186718
,6.3721705554321293,288.8909912109375,2.3527629090571973,1.4247932963022318,-0.19099727586875018
,6.3731706632812504,288.797607421875,2.3127501123191818,1.3955540940498838,-0.22193021240475927
,6.3741706111328122,288.7152099609375,2.2774447034326974,1.3692165159578815,-0.24813396235999186
,6.3751713189941404,288.6273193359375,2.2397856006204475,1.3406045466715386,-0.27494788222754657
,6.376171266833496,288.544921875,2.2044801917339636,1.3133286858738122,-0.29901189725612193
,6.3771713746826171,288.4515380859375,2.1644673949959481,1.2819287564044723,-0.32501899687229163
,6.3781706425170901,288.369140625,2.1291619861094642,1.2538290830446872,-0.346843198463202
,6.3791707103637698,288.28125,2.0915028832972142,1.223487300976988,-0.36895575568806876
,6.3801708982177736,288.1988525390625,2.0561974744107299,1.1947304843807782,-0.38858829765432351
,6.3811707660522465,288.10546875,2.0161846776727144,1.161817080721909,-0.40954997286629252
,6.3821708339111325,288.0230712890625,1.9808792687862307,1.1325276561846238,-0.42690621104240206
,6.383171581774902,287.9351806640625,1.9432201659739807,1.1010673412044318,-0.44424076864916806
,6.3841714096191406,287.8582763671875,1.9102684510132621,1.0733850115541463,-0.458410098345788
,6.3851707974487306,287.7593994140625,1.8679019603494809,1.0376256356612341,-0.47525946843608408
,6.3861715453125001,287.6824951171875,1.8349502453887625,1.0097150627742097,-0.48730188687994391
,6.3871716531616212,287.5946044921875,1.7972911425765126,0.97774906551847129,-0.4999289551218386
,6.3881710009887698,287.51220703125,1.7619857336900286,0.94774785766586644,-0.5106701798342651
,6.3891711888427736,287.4188232421875,1.7219729369520131,0.91374869771668543,-0.52156620905062057
,6.390171096691895,287.33642578125,1.6866675280655292,0.88378649608720716,-0.53005913535129812
,6.3911711645385747,287.2540283203125,1.6513621191790449,0.85389170084399091,-0.53750735229220059
,6.3921712723876958,287.171630859375,1.6160567102925607,0.82409532534824104,-0.5439179041458293
,6.3931718602416989,287.0782470703125,1.5760439135545454,0.79048387483941185,-0.54993877646206146
,6.3941712480712889,286.995849609375,1.5407385046680613,0.76099981299224762,-0.55416308581376639
,6.3951719159423828,286.907958984375,1.5030794018558113,0.72976438089404549,-0.55755587577920096
,6.3961719437866211,286.8310546875,1.470127686895093,0.70264252637011382,-0.5595917973210075
,6.3971712516113284,286.7376708984375,1.4301148901570773,0.67000716858986731,-0.56090746105196088
,6.3981713594604495,286.6552734375,1.3948094812705931,0.64151453832159622,-0.56102822740465141
,6.3991720273315433,286.5673828125,1.3571503784583434,0.61146930988538295,-0.56009752371348087
,6.4001713751586911,286.4849853515625,1.3218449695718593,0.58365678114679787,-0.55824625830476915
,6.4011721630249028,286.402587890625,1.2865395606853751,0.55621589606701438,-0.55546272459128476
,6.4021714308593749,286.3092041015625,1.2465267639473596,0.52559973010777417,-0.5512004261867669
,6.403172138720703,286.2322998046875,1.213575048986641,0.50079838584269598,-0.5468225078868364
,6.4041720865600587,286.1444091796875,1.1759159461743913,0.47293868058598576,-0.5408781626153526
,6.4051721544189455,286.06201171875,1.1406105372879072,0.44731613063056946,-0.53441188441726661
,6.4061721822631839,285.9686279296875,1.1005977405498919,0.41888960729008623,-0.52606175332297311
,6.407172050109863,285.8917236328125,1.0676460255891733,0.39599210369525817,-0.51838878157447354
,6.4081717179443363,285.809326171875,1.0323406167026892,0.37199631883570189,-0.50938891205539294
,6.4091722658081052,285.7269287109375,0.99703520781620492,0.34857896838992308,-0.4996031884599878
,6.4101722936523435,285.633544921875,0.95702241107818942,0.32276702526080697,-0.48758909509113052
,6.4111723614990233,285.556640625,0.92407069611747084,0.30211228574469501,-0.47697950880306345
,6.4121723893432616,285.46875,0.88641159330522123,0.27919648723253843,-0.46408744398100615
,6.413171697180176,285.391845703125,0.85345987834450276,0.25976732605362113,-0.45215663731081074
,6.4141718850219727,285.2984619140625,0.81344708160648727,0.23697971806114917,-0.436881772736538
,6.4151718328735354,285.2215576171875,0.78049536664576868,0.2188948102283344,-0.42367693124275596
,6.4161718207153324,285.1336669921875,0.74283626383351897,0.19900044208458159,-0.40792093024222709
,6.4171724885864254,285.0567626953125,0.70988454887280039,0.18228634680892219,-0.39357541383332589
,6.4181725164306638,284.96337890625,0.669871752134785,0.16288152807727543,-0.37548535902067598
,6.4191719042602537,284.8809814453125,0.63456634324830086,0.14658867512177726,-0.35894092331247746
,6.4201718520996094,284.798583984375,0.59926093436181671,0.13108913327223931,-0.34187762808475042
,6.421172599975586,284.7161865234375,0.56395552547533245,0.11639750340821908,-0.32432207797443879
,6.4221726278198243,284.6282958984375,0.52629642266308263,0.10163248721874601,-0.30508399910019351
,6.4231719356445316,284.5458984375,0.49099101377659848,0.08865344795370933,-0.28659705482887521
,6.42417196348877,284.4635009765625,0.45568560489011434,0.076522190452000108,-0.26770174637902067
,6.4251721113403324,284.381103515625,0.42038019600363019,0.065250084601868638,-0.24842610641906074
,6.4261719391845702,284.2987060546875,0.38507478711714604,0.054847684168876767,-0.2287984636036372
,6.4271727670532224,284.2108154296875,0.34741568430489622,0.044721346683874626,-0.20750655753828698
,6.4281727949096679,284.12841796875,0.31211027541841208,0.036146235926122802,-0.1872423630084801
,6.4291721427368165,284.0460205078125,0.27680486653192787,0.028468031907443233,-0.16671465116123496
,6.4301728906005859,283.9691162109375,0.24385315157120935,0.022117250506182531,-0.14734354887336626
,6.4311721584228518,283.875732421875,0.20384035483319393,0.015471748234609671,-0.12358173371808109
,6.4321723462768556,283.798828125,0,0,0
,6.4331729741455081,283.7109375,0,0,0
,6.4341730419921879,283.634033203125,0,0,0
,6.4351723498168942,283.5406494140625,0,0,0
,6.436172297668457,283.4637451171875,0,0,0
,6.4371731255371092,283.38134765625,0,0,0
,6.4381731533813475,283.304443359375,0,0,0
,6.4391724612060548,283.216552734375,0,0,0
,6.44017316907959,283.1341552734375,0,0,0
,6.4411724369018559,283.0517578125,0,0,0
,6.4421724647460934,282.9693603515625,0,0,0
,6.4431732926147465,282.886962890625,0,0,0
,6.4441733204589848,282.799072265625,0,0,0
,6.4451732683105467,282.72216796875,0,0,0
,6.4461727361450194,282.6397705078125,0,0,0
,6.4471726439819337,282.5628662109375,0,0,0
,6.4481727918334961,282.469482421875,0,0,0
,6.4491734197021486,282.392578125,0,0,0
,6.450173447546387,282.3101806640625,0,0,0
,6.4511727953735356,282.2332763671875,0,0,0
,6.4521728232177731,282.139892578125,0,0,0
,6.4531735710937497,282.06298828125,0,0,0
,6.4541729189208983,281.9805908203125,0,0,0
,6.4551727867675783,281.9036865234375,0,0,0
,6.4561736946289061,281.8157958984375,0,0,0
,6.4571736424804689,281.7333984375,0,0,0
,6.4581736703247072,281.6510009765625,0,0,0
,6.4591730181518558,281.5740966796875,0,0,0
,6.4601730859985356,281.49169921875,0,0,0
,6.4611737538696286,281.40380859375,0,0,0
,6.4621737417114256,281.326904296875,0,0,0
,6.4631738495605466,281.2445068359375,0,0,0
,6.464173277392578,281.1676025390625,0,0,0
,6.4651739852661132,281.07421875,0,0,0
,6.4661730930786137,280.997314453125,0,0,0
,6.4671739609497072,280.9149169921875,0,0,0
,6.46817390880127,280.8380126953125,0,0,0
,6.4691738966430661,280.7501220703125,0,0,0
,6.4701734444824215,280.667724609375,0,0,0
,6.4711732723266602,280.5908203125,0,0,0
,6.4721733801757813,280.5084228515625,0,0,0
,6.4731739680297853,280.4315185546875,0,0,0
,6.4741735158691407,280.338134765625,0,0,0
,6.4751741037353518,280.2667236328125,0,0,0
,6.4761734515625005,280.184326171875,0,0,0
,6.4771735594116215,280.107421875,0,0,0
,6.4781742672729496,280.0140380859375,0,0,0
,6.4791735350952147,279.942626953125,0,0,0
,6.4801737629516598,279.8602294921875,0,0,0
,6.4811744308227537,279.7833251953125,0,0,0
,6.482174338659668,279.6954345703125,0,0,0
,6.4831743265136721,279.6185302734375,0,0,0
,6.4841743143554691,279.5361328125,0,0,0
,6.4851744222045902,279.459228515625,0,0,0
,6.4861744500488285,279.38232421875,0,0,0
,6.4871737178833007,279.29443359375,0,0,0
,6.4881738657348631,279.217529296875,0,0,0
,6.4891738535766601,279.140625,0,0,0
,6.4901738814208985,279.0692138671875,0,0,0
,6.4911745892944337,278.975830078125,0,0,0
,6.4921739371215823,278.89892578125,0,0,0
,6.4931740449707034,278.822021484375,0,0,0
,6.4941740328125004,278.7451171875,0,0,0
,6.4951747006835934,278.668212890625,0,0,0
,6.4961741285156247,278.580322265625,0,0,0
,6.4971746763671874,278.5089111328125,0,0,0
,6.4981739842041017,278.426513671875,0,0,0
,6.4991741720458984,278.3551025390625,0,0,0
,6.5001743198974609,278.26171875,0,0,0
,6.5011741077392582,278.1903076171875,0,0,0
,6.5021742555908206,278.1134033203125,0,0,0
,6.5031749234619145,278.0364990234375,0,0,0
,6.5041749913085942,277.9541015625,0,0,0
,6.5051742591308592,277.8717041015625,0,0,0
,6.5061750069946287,277.80029296875,0,0,0
,6.5071750348510742,277.7178955078125,0,0,0
,6.5081749826904298,277.646484375,0,0,0
,6.5091744505249025,277.55859375,0,0,0
,6.5101743983642582,277.4871826171875,0,0,0
,6.511175066235352,277.40478515625,0,0,0
,6.5121745740722661,277.3333740234375,0,0,0
,6.5131752419311528,277.2509765625,0,0,0
,6.5141752297851561,277.1685791015625,0,0,0
,6.5151745376098633,277.09716796875,0,0,0
,6.5161746454589844,277.0147705078125,0,0,0
,6.5171752333251955,276.943359375,0,0,0
,6.5181745411499028,276.85546875,0,0,0
,6.5191754090209963,276.7840576171875,0,0,0
,6.5201753968627933,276.70166015625,0,0,0
,6.5211746646850584,276.6302490234375,0,0,0
,6.5221749325439458,276.5533447265625,0,0,0
,6.5231754804077147,276.4654541015625,0,0,0
,6.5241754682495117,276.39404296875,0,0,0
,6.5251747760742189,276.317138671875,0,0,0
,6.52617488392334,276.2457275390625,0,0,0
,6.5271755917968752,276.1578369140625,0,0,0
,6.5281756196411136,276.08642578125,0,0,0
,6.5291748874633786,276.0040283203125,0,0,0
,6.5301749553222654,275.9326171875,0,0,0
,6.5311757031860349,275.855712890625,0,0,0
,6.5321757710327146,275.767822265625,0,0,0
,6.5331757188842774,275.701904296875,0,0,0
,6.5341751467041016,275.6195068359375,0,0,0
,6.5351757745727541,275.548095703125,0,0,0
,6.5361750823974614,275.460205078125,0,0,0
,6.5371758702636722,275.3887939453125,0,0,0
,6.5381752580932622,275.3118896484375,0,0,0
,6.5391759259643552,275.2349853515625,0,0,0
,6.5401759538085935,275.16357421875,0,0,0
,6.5411759416625976,275.07568359375,0,0,0
,6.5421752494873049,275.0042724609375,0,0,0
,6.5431757573486324,274.921875,0,0,0
,6.5441755451904298,274.85595703125,0,0,0
,6.5451761730468752,274.76806640625,0,0,0
,6.546176000891113,274.6966552734375,0,0,0
,6.5471761887451176,274.6197509765625,0,0,0
,6.5481762165893551,274.5428466796875,0,0,0
,6.5491762444335935,274.471435546875,0,0,0
,6.5501761922851562,274.3780517578125,0,0,0
,6.5511756201171876,274.3121337890625,0,0,0
,6.55217576796875,274.229736328125,0,0,0
,6.553175755810547,274.163818359375,0,0,0
,6.5541763036743168,274.075927734375,0,0,0
,6.5551756114990232,273.9990234375,0,0,0
,6.556176519372559,273.9276123046875,0,0,0
,6.5571764272216795,273.84521484375,0,0,0
,6.5581758550415037,273.779296875,0,0,0
,6.5591765229125976,273.6859130859375,0,0,0
,6.5601765507568359,273.6199951171875,0,0,0
,6.5611758985839845,273.53759765625,0,0,0
,6.5621757664306637,273.4661865234375,0,0,0
,6.5631765942993168,273.3892822265625,0,0,0
,6.5641759021240231,273.306884765625,0,0,0
,6.5651766099975584,273.2354736328125,0,0,0
,6.5661766378417967,273.153076171875,0,0,0
,6.5671759856689453,273.087158203125,0,0,0
,6.5681767335327148,272.9937744140625,0,0,0
,6.5691767213867189,272.9278564453125,0,0,0
,6.5701767892333987,272.845458984375,0,0,0
,6.57117621706543,272.7740478515625,0,0,0
,6.5721768849243167,272.6971435546875,0,0,0
,6.57317687277832,272.6092529296875,0,0,0
,6.5741762606079099,272.5433349609375,0,0,0
,6.5751761684448242,272.4609375,0,0,0
,6.5761762762939453,272.39501953125,0,0,0
,6.5771763841430664,272.30712890625,0,0,0
,6.5781763719970705,272.2357177734375,0,0,0
,6.5791765598510743,272.1588134765625,0,0,0
,6.5801770677001956,272.0819091796875,0,0,0
,6.5811763355346677,272.010498046875,0,0,0
,6.5821764833862302,271.922607421875,0,0,0
,6.5831765112304685,271.856689453125,0,0,0
,6.5841770990966797,271.7742919921875,0,0,0
,6.5851771269409181,271.7083740234375,0,0,0
,6.5861771147827151,271.6259765625,0,0,0
,6.5871773026367189,271.5435791015625,0,0,0
,6.5881767304687502,271.47216796875,0,0,0
,6.5891773583374027,271.395263671875,0,0,0
,6.5901772661743161,271.329345703125,0,0,0
,6.5911766140014647,271.2359619140625,0,0,0
,6.5921774018798827,271.1700439453125,0,0,0
,6.5931767497070313,271.0931396484375,0,0,0
,6.594176817553711,271.021728515625,0,0,0
,6.5951767253906253,270.94482421875,0,0,0
,6.5961772732543942,270.85693359375,0,0,0
,6.5971769010986332,270.791015625,0,0,0
,6.5981775289550786,270.714111328125,0,0,0
,6.599176956787109,270.648193359375,0,0,0
,6.6001771046386724,270.5657958984375,0,0,0
,6.6011776925048826,270.4888916015625,0,0,0
,6.6021770003295899,270.41748046875,0,0,0
,6.6031769881713869,270.340576171875,0,0,0
,6.6041777760498048,270.274658203125,0,0,0
,6.6051777238891605,270.186767578125,0,0,0
,6.6061770717163082,270.1153564453125,0,0,0
,6.6071772195678715,270.0439453125,0,0,0
,6.6081777674316404,269.967041015625,0,0,0
,6.6091770752563477,269.901123046875,0,0,0
,6.6101773831176756,269.813232421875,0,0,0
,6.6111773309570312,269.747314453125,0,0,0
,6.6121779588256837,269.67041015625,0,0,0
,6.6131779866699221,269.6044921875,0,0,0
,6.614177254492188,269.527587890625,0,0,0
,6.6151775223510745,269.4451904296875,0,0,0
,6.6161781102172856,269.3792724609375,0,0,0
,6.6171781380615231,269.3023681640625,0,0,0
,6.6181773658813476,269.241943359375,0,0,0
,6.6191775137329101,269.1595458984375,0,0,0
,6.6201781416015626,269.0826416015625,0,0,0
,6.6211776094360353,269.0167236328125,0,0,0
,6.6221781972900393,268.9398193359375,0,0,0
,6.623177665124512,268.87939453125,0,0,0
,6.6241782529907223,268.7969970703125,0,0,0
,6.6251775608154295,268.7255859375,0,0,0
,6.6261784286865231,268.65966796875,0,0,0
,6.6271783765380858,268.582763671875,0,0,0
,6.6281776843627931,268.5223388671875,0,0,0
,6.6291777922119142,268.43994140625,0,0,0
,6.6301784200683596,268.3685302734375,0,0,0
,6.6311778078979495,268.3026123046875,0,0,0
,6.6321786357788088,268.231201171875,0,0,0
,6.6331786236206058,268.1707763671875,0,0,0
,6.6341778914428708,268.08837890625,0,0,0
,6.6351779192871092,268.0169677734375,0,0,0
,6.6361786271606444,267.9510498046875,0,0,0
,6.6371786550048828,267.879638671875,0,0,0
,6.6381786428466798,267.8192138671875,0,0,0
,6.6391786307006839,267.73681640625,0,0,0
,6.6401779785278316,267.6708984375,0,0,0
,6.6411786863891598,267.60498046875,0,0,0
,6.6421781942260747,267.5335693359375,0,0,0
,6.6431789420898442,267.47314453125,0,0,0
,6.6441781699218749,267.396240234375,0,0,0
,6.645178877783203,267.3248291015625,0,0,0
,6.6461781856079103,267.264404296875,0,0,0
,6.6471780934570317,267.1929931640625,0,0,0
,6.6481783613159182,267.1380615234375,0,0,0
,6.6491783491577152,267.066650390625,0,0,0
,6.6501790570190433,266.98974609375,0,0,0
,6.6511782848510741,266.934814453125,0,0,0
,6.6521791127197263,266.8634033203125,0,0,0
,6.6531791005615233,266.802978515625,0,0,0
,6.654178568395996,266.7425537109375,0,0,0
,6.6551784762451174,266.66015625,0,0,0
,6.6561785040893557,266.605224609375,0,0,0
,6.6571785719360355,266.539306640625,0,0,0
,6.6581791598022457,266.473388671875,0,0,0
,6.6591792676513668,266.4239501953125,0,0,0
,6.6601786954833981,266.3525390625,0,0,0
,6.6611787233276365,266.2811279296875,0,0,0
,6.6621793111938477,266.2261962890625,0,0,0
,6.6631785790161135,266.1602783203125,0,0,0
,6.6641788068725587,266.099853515625,0,0,0
,6.6651787547119143,266.044921875,0,0,0
,6.6661793425781246,265.9735107421875,0,0,0
,6.6671789304077151,265.9130859375,0,0,0
,6.6681790382568362,265.858154296875,0,0,0
,6.669178866101074,265.792236328125,0,0,0
,6.6701788939453124,265.7373046875,0,0,0
,6.6711795218139649,265.682373046875,0,0,0
,6.6721790296508789,265.6109619140625,0,0,0
,6.6731790174926759,265.5560302734375,0,0,0
,6.6741796053588871,265.5010986328125,0,0,0
,6.6751796332031255,265.440673828125,0,0,0
,6.6761797010498043,265.3857421875,0,0,0
,6.6771790088745115,265.330810546875,0,0,0
,6.6781791167358397,265.2593994140625,0,0,0
,6.6791798645996092,265.2099609375,0,0,0
,6.6801798524414062,265.155029296875,0,0,0
,6.6811792402709962,265.10009765625,0,0,0
,6.6821799881347657,265.045166015625,0,0,0
,6.6831799359863284,264.9957275390625,0,0,0
,6.684179283813477,264.9298095703125,0,0,0
,6.68517995168457,264.8748779296875,0,0,0
,6.6861792595092773,264.825439453125,0,0,0
,6.6871800473754881,264.7705078125,0,0,0
,6.6881799952148437,264.715576171875,0,0,0
,6.6891793030517581,264.671630859375,0,0,0
,6.6901797309082029,264.61669921875,0,0,0
,6.69118019876709,264.55078125,0,0,0
,6.6921794665893559,264.5068359375,0,0,0
,6.6931794544433592,264.4573974609375,0,0,0
,6.6941795622924802,264.4024658203125,0,0,0
,6.6951795101318359,264.35302734375,0,0,0
,6.6961803380004881,264.3145751953125,0,0,0
,6.6971802458496095,264.2596435546875,0,0,0
,6.6981797536743164,264.1937255859375,0,0,0
,6.6991797815307619,264.1497802734375,0,0,0
,6.7001803693847659,264.1058349609375,0,0,0
,6.70117987722168,264.056396484375,0,0,0
,6.7021797050659178,264.0069580078125,0,0,0
,6.7031797329101561,263.968505859375,0,0,0
,6.7041805607788083,263.9190673828125,0,0,0
,6.7051804686279297,263.858642578125,0,0,0
,6.7061806164794922,263.814697265625,0,0,0
,6.7071801643066404,263.7762451171875,0,0,0
,6.7081804721679692,263.726806640625,0,0,0
,6.7091798599975583,263.6773681640625,0,0,0
,6.7101800078491207,263.6334228515625,0,0,0
,6.7111800756958004,263.594970703125,0,0,0
,6.712180703564453,263.5455322265625,0,0,0
,6.7131806514038086,263.4906005859375,0,0,0
,6.7141799992309572,263.4521484375,0,0,0
,6.7151805070922848,263.4136962890625,0,0,0
,6.7161800949340824,263.3642578125,0,0,0
,6.7171808828002932,263.3203125,0,0,0
,6.7181801506225582,263.2818603515625,0,0,0
,6.719180218469238,263.243408203125,0,0,0
,6.7201809263427732,263.1939697265625,0,0,0
,6.7211809541870116,263.14453125,0,0,0
,6.7221803820190429,263.1060791015625,0,0,0
,6.7231803298583985,263.067626953125,0,0,0
,6.7241810377319338,263.023681640625,0,0,0
,6.7251811055786135,262.979736328125,0,0,0
,6.7261803333984371,262.9412841796875,0,0,0
,6.7271811612670902,262.9083251953125,0,0,0
,6.7281810691162107,262.869873046875,0,0,0
,6.729180376940918,262.8204345703125,0,0,0
,6.7301805647949218,262.7764892578125,0,0,0
,6.7311806326416015,262.7435302734375,0,0,0
,6.7321808204956053,262.705078125,0,0,0
,6.7331813283569337,262.6666259765625,0,0,0
,6.7341805561767583,262.6226806640625,0,0,0
,6.7351805840209957,262.5897216796875,0,0,0
,6.7361814119018559,262.5567626953125,0,0,0
,6.7371813197387693,262.518310546875,0,0,0
,6.7381814275878904,262.4688720703125,0,0,0
,6.7391809354248045,262.4249267578125,0,0,0
,6.7401815232910156,262.3974609375,0,0,0
,6.7411815111328126,262.364501953125,0,0,0
,6.7421815789794923,262.3260498046875,0,0,0
,6.7431809268066409,262.28759765625,0,0,0
,6.7441815946777348,262.2491455078125,0,0,0
,6.7451810225097653,262.2216796875,0,0,0
,6.7461816503662106,262.188720703125,0.16655784304906726,0.010338623257994811,-0.10124032309678851
