descriptions,General,User,javot
,General,DateTime,7/17/2026 10:46:33 AM
,General,Origin,"Software revision: outputs_asymmetricspring.sdf, outputs_asymmetricspring.rta\nVariable description: outputs_asymmetricspring.sdf\n    Platform / Device: Platform [DS1202 MicroLabBox, assigned to 'ds1202']\nControlDesk version: 7.5"
,General,Description,
,Recording,StartCondition,None (Immediate Recording)
,Recording,StopCondition,None
,Measurement,XAxisOffset,0
,Measurement,Length,20.59755245
,Measurement,StartTimestamp,0.6750186704
,Measurement,StopTimestamp,21.27257112
,MDF,Department,
,MDF,Project,
,MDF,MeasurementObject,

trace_size,20598
trace_types,4,4,4,4,4
trace_names,,Out1,Out1,Out1,Out1
trace_units,,,,,
devices,Platform,Platform,Platform,Platform,Platform
raster,HostService,HostService,HostService,HostService,HostService
description,,,,,
displayidentifier,,,,,
path,,Model Root/Divide,Model Root/Subsystem2/curr2torque,Model Root/Subsystem2/Shift,Model Root/Subsystem2/Shift1
flags,,0,0,0,0
min,,-Infinity,-Infinity,-Infinity,-Infinity
max,,Infinity,Infinity,Infinity,Infinity
minWeak,,-Infinity,-Infinity,-Infinity,-Infinity
maxWeak,,Infinity,Infinity,Infinity,Infinity
,0.038001053955078135,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.039001160644531296,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.040001027319335969,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.041001054003906301,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.042000440673828132,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.043000587365722653,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.044000614038085972,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.045000600720214834,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.046000947412109361,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.047000574084472668,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.04800068077392583,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.049000707458496162,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.050001214160156238,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.051001480847168046,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.052001347521972718,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.05300069418945319,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.054001560888671918,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.055001547570800779,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.056000894238281251,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.057000880920410224,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.058001107617187575,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.059001014294433607,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.060001640991210969,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.061001747680664131,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.062001614355468804,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.063000921020507805,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.064001227709960973,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.065001814404296865,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.066001201074218807,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.06700182777099617,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.068001094433593812,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.069001121118164144,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.070001347802734371,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.071001214489746167,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.072001961193847719,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.073001947875976581,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.074001334533691399,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.075001361218261731,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.076002107922363282,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.077002014599609425,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.078002121289062587,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.079001507958984418,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.08000217465820314,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.081001481323242253,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.082002228027343804,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.083002254699707123,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.084001561364746125,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.085001548046874986,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.086001734741210978,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.087001881420898486,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.088002308117675843,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.089002334802246175,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.090002441491699225,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.091002508166503904,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.09200245485839853,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.093002481530761738,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.09400186820068368,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.095001934887695372,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.096002601586914094,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.097002668273925785,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.098002614953613287,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.099002641638183619,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.10000198830566409,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.10100209498291024,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.10200280168457032,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.10300278836669929,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.10400269504394533,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.10500288173828132,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.10600218840332032,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.10700229508056647,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.10800288178710937,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.1090022684448243,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.11000293515625004,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.11100296182861336,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.11200302851562505,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.11300241518554688,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.11400236186523438,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.11500258854980472,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.11600313525390626,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.11700252191162108,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.11800314862060546,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.11900321529541025,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.12000328198242194,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.1210032686645508,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.12200329534912113,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.12300252200927742,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.12400318870849614,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
,0.12500269538574227,286.435546875,1.300661724239969,0.56714590605713222,-0.5566870459737876
